Date,Open,High,Low,Close,Volume
2013-10-10,47.251,47.537,47.207,47.537,160
2013-10-11,47.537,47.537,47.343,47.343,20
2013-10-14,47.753,47.753,47.652,47.652,455
2013-10-15,48.299,48.466,47.94,47.94,5228
2013-10-16,47.931,48.002,47.931,48.002,1126
2013-10-17,49.558,49.558,47.894,48.02,496
2013-10-18,48.002,48.397,48.002,48.397,102
2013-10-21,49.505,49.505,48.718,48.718,196
2013-10-22,48.279,48.718,48.279,48.682,285
2013-10-23,49.147,49.147,47.921,47.921,5351
2013-10-24,48.907,48.907,48.191,48.191,348
2013-10-25,48.558,48.558,48.135,48.334,65
2013-10-28,48.726,48.817,48.682,48.817,250
2013-10-29,48.907,48.941,48.907,48.941,162
2013-10-30,49.039,49.039,49.014,49.014,1252
2013-10-31,49.524,49.524,49.039,49.173,234
2013-11-04,49.173,49.623,49.173,49.623,296
2013-11-05,50.059,50.059,49.641,49.641,242
2013-11-06,51.38,51.38,49.623,49.781,343
2013-11-07,48.726,50.337,48.726,50.337,260
2013-11-08,49.574,50.221,49.524,50.221,464
2013-11-12,50.961,50.961,50.435,50.666,409
2013-11-13,50.666,50.666,50.166,50.166,28
2013-11-14,50.694,50.828,50.542,50.81,209
2013-11-15,50.81,50.81,50.784,50.784,189
2013-11-18,51.283,51.283,50.363,50.792,716
2013-11-19,51.38,51.38,50.202,50.246,1139
2013-11-20,50.149,50.935,50.149,50.918,30
2013-11-21,50.961,50.961,50.926,50.961,86
2013-11-22,50.961,50.961,50.657,50.961,556
2013-11-25,50.961,51.39,50.961,51.32,1125
